Number of atr,P_edge,Target assort,Target correlation,Calculated_corr,Time,Deviation_assort,Corr_type,Sheme,Mutation
5,0.05,0.2,"[0.7515818119478088, 0.72230893639748, 0.7428786754996217, 0.7275421714598244]","[-0.1480913739984414, -0.02110901599475062, 0.15603347850841748, 0.016258865303621094]",38,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.7515818119478088, 0.72230893639748, 0.7428786754996217, 0.7275421714598244]","[-0.10005113509347811, 0.020615672850670543, 0.26621694033127136, 0.03362907650463172]",38,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.7515818119478088, 0.72230893639748, 0.7428786754996217, 0.7275421714598244]","[0.01977414720445674, 0.19799018238079202, 0.5197928818895354, -0.22040824592200098]",38,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.7515818119478088, 0.72230893639748, 0.7428786754996217, 0.7275421714598244]","[0.01062886581470563, 0.0781717455943036, 0.36660974462344, 0.10927597819475118]",38,0.39999999999999997,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.7515818119478088, 0.72230893639748, 0.7428786754996217, 0.7275421714598244]","[0.5631759748006697, 0.6517868725297056, 0.10028260686925465, 0.6113819686491085]",120,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.31878675885366586, 0.34771442252844337, -0.2087479495383452, -0.2145032304364977]",161,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.0133353948505756, 0.19330029447727168, 0.3542452606158891, -0.15322988047803876]",161,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.4161462542838328, 0.5517576084625259, 0.6918413685541808, 0.7841136407076369]",44,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.7343786221156307, -0.06215089858283057, 0.7483261926691213, -0.5492042486546654]",44,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.2278945807153995, 0.13974845761720595, 0.7928800198446044, 0.6960394490821762]",44,0.7,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.08074007313909344, 0.22106880635413503, 0.08499213822762093, 0.027394959772456484]","[-0.20202883582678188, -0.2367580495822081, -0.4080647450845601, 0.5346408880816222]",44,0.9,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.036264172060232316, 0.6059410355641702, 0.7814534504106768, 0.9415288813577904]",85,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.8496417801280436, 0.6672315140098445, 0.2795957126512729, 0.7670557936564236]",85,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.21718836405460598, 0.6405214330851356, 0.8478256082517408, 0.9740695529334048]",85,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.6580324654759546, 0.6018022296922633, 0.883695633108977, 0.9738658114787435]",85,0.39999999999999997,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.7554355337355543, 0.6454393574869473, 0.8357817288395034, 0.9775589675699146]",85,0.8,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.844600692264272, -0.3602802353115765, 0.808638217264344, 0.9676412296798943]",44,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[-0.4202335248082885, 0.8690512981372167, 0.7993458207188618, 0.9986995789424599]",44,0.4,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8300488417671487, 0.799776624585166, 0.800237434271494, 0.7420502517960375]","[0.8129171360310736, -0.4741005229190387, 0.823291025012065, 0.9792124837152546]",44,0.9,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.23098916905102426, 0.11519245181333898, -0.2474517104193063, -0.1927045062699717, 0.03382902507322642, 0.1955686641679939, -0.09144170987074482, -0.18487272606612656]",216,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.10831716705152886, -0.13520741170576456, -0.10534311622045174, -0.02286176088573887, 0.07959599046572083, 0.13128005072251175, -0.2246627407847922, -0.20293278661142441]",216,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.42674114248208567, -0.10547703988353285, -0.12560194126168073, 0.27442666047338526, 0.08660543011913102, 0.0917946967915241, -0.28897298752017325, -0.1935252388078427]",216,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.15119591431142562, 0.17049761471506772, 0.03880938947127756, 0.07019685961009073, 0.1747976105871439, 0.1912563372261163, -0.19044001787429207, -0.3192166775271525]",216,0.39999999999999997,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.6012612164461798, 0.33621297454738885, -0.3957873580154608, -0.15389504640293789, 0.42294560024073713, 0.13610997500304187, 0.11749718128362281, 0.45856179017005005]",169,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.2638877834382622, -0.15084316713398255, 0.007447976021067497, -0.3785112149996266, 0.22832837595145586, 0.39828019903286777, -0.04480972599479013, 0.2841935149662791]",169,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.7356638140587104, 0.04867879728750513, -0.04415845281671901, -0.0923493007373615, 0.41078694347134154, 0.06458320555910939, -0.4276908572470784, 0.4959650287244499]",169,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.15926907261575346, -0.09529201130676342, -0.0691273344556274, -0.05568579657258506, 0.5574060033341718, -0.08218799489153547, -0.006771869146359032, 0.6499145146810638]",169,0.5,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.2771125002080535, 0.014367678108705283, 0.028198529677287008, 0.17643162365768672, 0.26342870654980616, 0.2274281650458681, 0.002969959080539286, 0.19256976772481463]","[0.4524441840739117, 0.26102166671726706, -0.1484502172985572, -0.20039078061999946, -0.07393775639269534, 0.06954671647993316, -0.2414570747136581, -0.06733044793051847]",169,0.9,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.832769084545532, 0.8397155305841499, 0.7218935699720587, 0.7360893552277704, 0.7067339385069282, 0.8564668562417642, 0.8682490779819708, 0.7984024840820271]","[0.5523530699527549, 0.1692039758101624, -0.19423733922348513, 0.18125260831749185, 0.3186211608980038, -0.10684154350914615, -0.9790415549828833, -0.37147154837083574]",59,0.1,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.832769084545532, 0.8397155305841499, 0.7218935699720587, 0.7360893552277704, 0.7067339385069282, 0.8564668562417642, 0.8682490779819708, 0.7984024840820271]","[0.5450558403592585, 0.32036964209576235, 0.4961917763557839, -0.5226747476411561, 0.48978251842946713, -0.08219560369486509, -0.4847504864581386, -0.4510596890288826]",59,0.1,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.832769084545532, 0.8397155305841499, 0.7218935699720587, 0.7360893552277704, 0.7067339385069282, 0.8564668562417642, 0.8682490779819708, 0.7984024840820271]","[0.6398460785518456, 0.39639844366088195, -0.7364677120303386, 0.6250223384900379, 0.5601458690289224, 0.18562756521194432, 0.7558285832545821, -0.474574859456302]",57,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.832769084545532, 0.8397155305841499, 0.7218935699720587, 0.7360893552277704, 0.7067339385069282, 0.8564668562417642, 0.8682490779819708, 0.7984024840820271]","[0.6502042376844837, 0.5604563011263807, -0.17425370349736002, -0.6558413311208675, 0.21403705746049606, -0.10369749354063856, 0.35568374879146497, 0.3589666545111279]",57,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[0.00949012454708003, -0.03669883551416819, 0.33300212814245506, 0.1195907972288963, -0.31389484357976405, -0.15873349609759443, 0.07548986114850845, 0.3606568407861888, 0.3119295920041757, -0.11657900953786286, 0.03275527213703599, -0.31565919209661975, 0.45538085390408495, -0.24455363691234921, -0.49628738517368154, -0.03724166410013656, 0.03923665189222491, -0.02910733786232044, -0.4322282148782256]",80,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[-0.06507523660285643, 0.4694451203765179, 0.2820215551074362, 0.10194263225205186, 0.35634291432453935, -0.2807978741393389, 0.17207261221255257, 0.2126149969305582, 0.32915527679716233, -0.12515249716906773, 0.14007821647645902, -0.23542202282742936, 0.33501059419025603, -0.09163944829254081, -0.5485667448427611, -0.11305380013663976, 0.046011413495364945, 0.029038656034191427, -0.2832237382588121]",80,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[-0.27617875939261105, 0.31651709254155314, 0.2630934083762944, 0.14654637646127586, 0.27091641674523376, -0.16990046469539744, 0.060735895102375495, 0.39894782741992874, 0.2515790484088787, -0.13989899470904238, -0.034034641325036474, -0.14263322158753797, 0.38986012000559767, 0.019153506746555363, -0.46151000139474213, 0.052754811995389166, 0.11093062726094757, -0.12005517561542275, -0.3674659755788041]",80,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[0.16023428507824225, 0.4761487984993053, 0.3798212870262025, -0.08502544000107821, 0.23158284658821915, -0.016089986737891603, 0.1168856030129199, 0.45830931453028556, 0.1752728083930225, -0.07580897601161077, 0.16196660564760545, -0.35891012538955097, 0.3621788084724152, -0.19558160071293434, -0.11925187821750109, -0.027985688467097394, 0.19657158575721387, 0.07498726054828629, -0.24329618001640083]",80,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[0.3380991934109504, -0.28644083002060994, 0.2547558657507507, 0.23968820347774372, 0.2244080679558672, -0.041243339376914656, 0.08063636418450874, 0.1825728270439101, 0.2298800241261965, -0.023543280373726327, 0.252468038372719, -0.08658335142547652, 0.3096129669827519, -0.21730944895335627, -0.07343955950555282, 0.15413354374194205, -0.14994825755561592, 0.12556753711841434, -0.2636226120943087]",233,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.11234200980322369, 0.1907592731501303, 0.29674120720045616, 0.04170811981340202, 0.2558794245968305, 0.25113485035957916, 0.1424606981559053, 0.26606574704128383, 0.1790609272281386, 0.07763311864585587, 0.2234719624712794, 0.16691090029986919, 0.08293041965987101, 0.10445619361616096, 0.27517318285444153, 0.11190663575417305, 0.2515696903865032, 0.03859175661095534, 0.07745103388060885]","[-0.1193762802059379, 0.36274327789690414, 0.45113167084259675, 0.015670026506503915, -0.2890399051653959, -0.08338493075095445, 0.18221794153552368, 0.29597670398243814, 0.10581751188957712, 0.033766018428627004, 0.08915941893426922, -0.11416781075140094, 0.5316286126910001, -0.10492279114401581, 0.30052454087685154, -0.16189682691740792, 0.1329082064006231, 0.09597740561177869, -0.23426107916584768]",233,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[-0.2115640467587609, 0.2410912977777342, 0.2641580707860134, -0.13885285060488908, 0.042615393219714956, 0.004913612313349982, -0.06884522949844499, 0.34879583078111037, 0.0928715014433014, -0.20002427230564954, 0.030217693165277133, -0.10876469334639331, 0.4963904775469563, 0.17286824818690716, -0.11528069965848053, -0.11545975767482354, 0.06161113167220251, 0.0694648949650248, -0.2326924400957208]",244,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[-0.055117168594107924, 0.10116837892163524, 0.36130830569528716, 0.17796159180608132, 0.26507155956117195, 0.12720075852958843, 0.1159223765627474, 0.1169973427005887, 0.3983468373700866, 0.11756990504860952, -0.023120236725456933, -0.02838601665982574, 0.12637293599245913, -0.3067969521924383, 0.6520913342297245, -0.15692680776730725, 0.019164041985782712, -0.01743659535732048, -0.4435588217235431]",244,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[0.11322333386063883, 0.5679946266747983, 0.7044993899236404, 0.02962983710947524, 0.07139437063356244, -0.11458307870798756, 0.2561029847970312, 0.5416644927324027, 0.741497117512624, -0.0692973316662715, 0.24327750220130268, 0.49162366430951426, 0.627125302022851, 0.20996062032739968, -0.826650680810854, -0.16867250114850268, 0.08515580948706913, 0.4668813603810477, -0.017261428391667066]",244,0.49999999999999994,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[-0.5378489479192947, 0.15702219456780953, 0.6904740867972058, 0.3226032015958691, 0.3386685821781285, -0.19868888650062994, 0.37390513988522744, 0.2276747073248449, 0.1911832511860569, 0.06393908182189124, 0.2002079534819684, -0.4524783843854735, 0.4397207414054219, -0.1273170586918622, 0.20499427791242794, 0.023569182236339536, -0.06360725146782, 0.18619549098997404, -0.2844368950619542]",244,0.6000000000000001,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[-0.1459504062525094, 0.8482860885248994, 0.39291185709223486, 0.1540947093612937, 0.2714354718261122, -0.17542414792271, 0.14390380826052274, 0.39888058154358513, 0.24205260585541089, 0.2873990948085637, -0.03407701929449374, -0.03768981076019363, 0.4577361803453107, -0.10535685466636065, -0.5135742188268076, -0.15330397028119133, 0.11450185198485956, 0.7015112364953036, -0.19617358445575855]",81,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.7060573722774488, 0.8035967060780564, 0.861984671619302, 0.820719076900451, 0.843665607566787, 0.8455778327633359, 0.8662274419703863, 0.7427575816615598, 0.8142798468316613, 0.8094620622427752, 0.7767531335770269, 0.7892943488538335, 0.8113259428107169, 0.7845626678476273, 0.8998894598557722, 0.7891159685308714, 0.8516938947517583, 0.8952732682653738, 0.8906470866823799]","[-0.10376534526517776, 0.8767857850710995, 0.6933699647028188, 0.17577409439944403, 0.3242391949240632, -0.02225866251440134, 0.007029430532937589, 0.2899420571297873, 0.4885145989364958, -0.03775841712388988, 0.07417286022968073, -0.41446124292518083, 0.22795810019083199, -0.35474213087526063, 0.3887007269317654, -0.08051455053545362, -0.09739460071293603, 0.7494891556261765, -0.04924559800492292]",81,0.20000000000000007,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.2526119398763592, 0.04869814747871909, 0.23995175234016228]","[-0.02036617108524587, 0.07323024173893557, 0.12264931281117712]",142,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.2526119398763592, 0.04869814747871909, 0.23995175234016228]","[0.03151498332643291, 0.38864654332009857, 0.1308437255850289]",142,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.2526119398763592, 0.04869814747871909, 0.23995175234016228]","[-0.07514503477324583, 0.11884374153776268, 0.0071286508152263025]",142,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.2526119398763592, 0.04869814747871909, 0.23995175234016228]","[0.13822551200676872, -0.09201717517063504, 0.3002202347960793]",142,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.2526119398763592, 0.04869814747871909, 0.23995175234016228]","[0.19517599813879788, -0.28187849635017476, 0.21444010885877637]",111,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.80648540822842, 0.7525643372778603, 0.7786753474559132]","[0.7448140008430864, 0.5776811603920743, 0.419579114814481]",114,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.80648540822842, 0.7525643372778603, 0.7786753474559132]","[0.4237556736573645, 0.22176331548082576, 0.4569300478012306]",167,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.80648540822842, 0.7525643372778603, 0.7786753474559132]","[0.4459981976857443, 0.22075745237098035, 0.5410674728722115]",167,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[0.1605516356675527, -0.32713296448099194, -0.033659186145868714, -0.13814442264531943, 0.10444116819827169]",135,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[-0.08162926042922702, 0.3047924501618716, -0.18792657492260367, 0.2861746632836149, 0.10960963112519247]",135,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[0.2892217932735735, -0.3935046820353846, -0.480526243594224, 0.7692064864874895, 0.29797501016512107]",91,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[-0.08269470237300239, -0.6938940538499625, 0.06241781241955321, 0.3955054714719164, 0.032751435852064185]",91,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[0.2565951947261884, -0.6943977046335149, -0.07808080716007545, 0.09744463782595846, 0.30639610873988254]",91,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[-0.08843243544964512, -0.5352551774689811, -0.1402802924012184, 0.024907850186843175, 0.06940196878284424]",91,0.30000000000000004,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.243102952580687, 0.1293410957002772, 0.060620621156809336, 0.2809534455109905, 0.07234581733586665]","[6.326505296758763e-05, -0.3721432319178859, 0.10715792414442196, -0.007805433531552025, 0.08714349678382649]",91,0.6000000000000001,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8449709783650204, 0.767100486307775, 0.8558421158276874, 0.7831322427903809, 0.7086263098398027]","[0.2176837303238234, 0.2458713772795315, 0.3905876197938303, 0.8021856521347097, 0.15606113062965846]",135,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8449709783650204, 0.767100486307775, 0.8558421158276874, 0.7831322427903809, 0.7086263098398027]","[0.018863646660614262, 0.14959743971372663, 0.3649988800043726, 0.7437247374946986, -0.01800435211508802]",135,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8449709783650204, 0.767100486307775, 0.8558421158276874, 0.7831322427903809, 0.7086263098398027]","[0.29453821293915, 0.1910877605735414, 0.17889116139050976, 0.807010226343291, 0.2736885329329356]",135,0.3,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8449709783650204, 0.767100486307775, 0.8558421158276874, 0.7831322427903809, 0.7086263098398027]","[0.06322628961057895, 0.5857903178061606, 0.32453874292189017, 0.82934179349265, 0.15546672796538885]",135,0.39999999999999997,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8449709783650204, 0.767100486307775, 0.8558421158276874, 0.7831322427903809, 0.7086263098398027]","[0.1004390919785744, 0.3581639852722639, 0.2983115193440429, 0.2302020731410232, 0.5322757043471922]",300,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.11782043303911198, 0.19971736987449926, 0.2513421973910724, 0.2056116251751074, 0.13685459289492585, 0.09696532504223947]","[-0.14208452685452586, 0.5920281529444499, 0.8741585183071464, -0.2798684375786786, -0.24646741389618634, -0.06990585232585267]",91,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.11782043303911198, 0.19971736987449926, 0.2513421973910724, 0.2056116251751074, 0.13685459289492585, 0.09696532504223947]","[-0.3971282965896098, 0.6706573780119717, 0.34728553150500013, 0.1916488484979949, 0.3132550376639273, 0.24515472802197757]",91,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
